"","URN","Local.authority","Region","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","new_LA_places","new_LA_homes","matched"
"416","2508344","DERBYSHIRE","East Midlands","Local Authority",2,"Derbyshire County Council","21/03/2019","high-overspend",NA,5,2,1
"417","2594189","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Local Authority",4,"North East Lincolnshire Council","25/06/2020","high-overspend",NA,8,2,1
"418","2594854","WILTSHIRE","South West","Investment owned",5,"Witherslack Group Ltd","27/08/2020","low-overspend",NA,3,1,1
"419","2490894","HARTLEPOOL","North East","Local Authority",2,"Hartlepool Borough Council","19/03/2019",NA,"low-outsourcing",6,2,1
"420","2496625","GATESHEAD","North East","Investment owned",2,"Cambian Childcare Ltd","06/11/2018",NA,"low-outsourcing",9,2,1
"421","SC463926","LANCASHIRE","North West","Investment owned",4,"Bay View Child Care Limited","23/05/2013","low-overspend",NA,6,1,1
"422","SC400880","LANCASHIRE","North West","Corporate owned",4,"Choices 4 Children Ltd","25/09/2009","low-overspend",NA,6,1,1
"423","SC398393","SHROPSHIRE","West Midlands","Investment owned",3,"Hillcrest Childrens Services (2) Limited","21/07/2009","high-overspend",NA,8,4,1
"424","SC407933","SHROPSHIRE","West Midlands","Corporate owned",4,"Prestige Adolescent Care And Education Limited","19/04/2010","high-overspend",NA,8,4,1
"425","2571557","MEDWAY","South East","Local Authority",6,"Medway Council","16/04/2020",NA,"high-outsourcing",6,1,1
"426","2571902","DURHAM","North East","Corporate owned",2,"ROC Family Support Ltd","24/03/2020",NA,"low-outsourcing",15,6,1
"427","2590942","CALDERDALE","Yorkshire and The Humber","Individual owned",2,"Restorative Social Care Services Ltd","04/05/2020","high-overspend",NA,3,1,1
"428","SC372613","SHROPSHIRE","West Midlands","Investment owned",3,"Bryn Melyn Care Limited","02/07/2008","high-overspend",NA,8,4,1
"429","SC483710","DERBYSHIRE","East Midlands","Investment owned",3,"Horizon Care and Education Group Limited","18/02/2015","high-overspend",NA,5,2,1
"430","SC483846","LANCASHIRE","North West","Investment owned",5,"Cambian Childcare Ltd","12/10/2015","low-overspend",NA,6,1,1
"431","SC486879","EAST SUSSEX","South East","Individual owned",5,"PJL Healthcare Limited","21/07/2015","high-overspend",NA,5,1,1
"432","SC475706","DURHAM","North East","Investment owned",7,"Witherslack Group Ltd","28/05/2014",NA,"low-outsourcing",15,6,1
"433","SC476252","SHROPSHIRE","West Midlands","Investment owned",3,"Cambian Childcare Ltd","09/03/2014","high-overspend",NA,8,4,1
"434","SC063895","NOTTINGHAMSHIRE","East Midlands","Investment owned",4,"Castle Homes Care Limited","28/04/2005",NA,"high-outsourcing",2,1,1
"435","2571630","BARNET","London","Individual owned",3,"Aspire 2 Be Ltd","19/12/2020",NA,"high-outsourcing",6,1,1
"436","2580899","REDCAR AND CLEVELAND","North East","Individual owned",5,"Josh's Place Limited","05/05/2020","high-overspend","low-outsourcing",6,1,1
"437","1272461","HARINGEY","London","Investment owned",4,"Area Camden Limited ","17/02/2018","high-overspend",NA,6,1,1
"438","2563818","SHROPSHIRE","West Midlands","Investment owned",3,"Reflexion Care Group Limited","03/01/2020","high-overspend",NA,8,4,1
"439","2565716","MIDDLESBROUGH","North East","Local Authority",4,"Middlesbrough Borough Council","26/11/2019","high-overspend",NA,6,2,1
"440","2567789","LANCASHIRE","North West","Individual owned",2,"New Horizons (NW) Ltd","03/04/2020","low-overspend",NA,6,1,1
"441","SC036740","NOTTINGHAMSHIRE","East Midlands","Local Authority",20,"Nottinghamshire County Council","28/11/2003",NA,"high-outsourcing",2,1,1
"442","SC403890","LEEDS","Yorkshire and The Humber","Corporate owned",4,"The Partnership Of Care Today","20/05/2010",NA,"low-outsourcing",4,1,1
"443","SC053145","LANCASHIRE","North West","Investment owned",3,"Partners in Care Limited","02/10/2003","low-overspend",NA,6,1,1
"444","2580626","LANCASHIRE","North West","Corporate owned",3,"Hexagon Care Services Ltd","04/05/2020","low-overspend",NA,6,1,1
"445","SC362965","DORSET","South West","Corporate owned",1,"Five Rivers Child Care Limited","28/11/2007","high-overspend",NA,10,4,1
"446","SC363403","LINCOLNSHIRE","East Midlands","Investment owned",4,"Keys Educational Services Limited","10/10/2007","low-overspend","low-outsourcing",17,3,1
"447","SC031698","EAST SUSSEX","South East","Local Authority",8,"East Sussex County Council","31/07/2003","high-overspend",NA,5,1,1
"448","1270802","LANCASHIRE","North West","Individual owned",3,"New Horizons (NW) Ltd","22/01/2018","low-overspend",NA,6,1,1
"449","SC044291","NOTTINGHAMSHIRE","East Midlands","Local Authority",3,"Nottinghamshire County Council","05/12/2003",NA,"high-outsourcing",2,1,1
"450","SC382994","NOTTINGHAMSHIRE","East Midlands","Investment owned",5,"Pathway Care Solutions Ltd","14/08/2008",NA,"high-outsourcing",2,1,1
"451","SC033389","LEEDS","Yorkshire and The Humber","Local Authority",5,"Leeds City Council","17/07/2003",NA,"low-outsourcing",4,1,1
"452","SC456602","DURHAM","North East","Investment owned",3,"Cambian Childcare Ltd","14/02/2013",NA,"low-outsourcing",15,6,1
"453","1225136","LANCASHIRE","North West","Investment owned",4,"Cambian Childcare Ltd","18/05/2016","low-overspend",NA,6,1,1
"454","2667363","YORK","Yorkshire and The Humber","Local Authority",1,"City of York Council","09/12/2021","high-overspend","low-outsourcing",15,3,1
"455","2667401","SHROPSHIRE","West Midlands","Individual owned",4,"Cynhenid Care Ltd","21/02/2022","high-overspend",NA,8,4,1
"456","2638322","NORTH TYNESIDE","North East","Individual owned",3,"Sunbridge Childcare Ltd","30/07/2021","high-overspend","low-outsourcing",11,4,1
"457","2638487","LANCASHIRE","North West","Individual owned",4,"New Horizons (NW) Ltd","01/07/2021","low-overspend",NA,6,1,1
"458","2496627","DURHAM","North East","Investment owned",3,"Witherslack Group Ltd","29/10/2018",NA,"low-outsourcing",15,6,1
"459","2627967","LANCASHIRE","North West","Corporate owned",3,"Exceptional Care Limited","03/07/2021","low-overspend",NA,6,1,1
"460","2631595","CAMBRIDGESHIRE","East of England","Investment owned",5,"Cambian Childcare Ltd","17/05/2021","low-overspend",NA,17,3,1
"461","2632727","LANCASHIRE","North West","Third sector",2,"Applecast Limited","16/07/2021","low-overspend",NA,6,1,1
"462","2510847","LANCASHIRE","North West","Individual owned",1,"Hopscotch Care Ltd","17/04/2019","low-overspend",NA,6,1,1
"463","2519260","WILTSHIRE","South West","Investment owned",3,"Esland North Limited","15/05/2019","low-overspend",NA,3,1,1
"464","2645688","DERBYSHIRE","East Midlands","Corporate owned",5,"Kedleston (Wood Grove Childcare) Limited","12/08/2021","high-overspend",NA,5,2,1
"465","SC476271","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Ltd","09/03/2014","high-overspend",NA,8,4,1
"466","SC001452","LEEDS","Yorkshire and The Humber","Corporate owned",6,"Five Rivers Child Care Limited","01/04/2002",NA,"low-outsourcing",4,1,1
"467","1183605","LANCASHIRE","North West","Individual owned",3,"Lonsdale Care Ltd","29/02/2016","low-overspend",NA,6,1,1
"468","SC456911","CAMBRIDGESHIRE","East of England","Investment owned",6,"Cambian Childcare Ltd","25/02/2013","low-overspend",NA,17,3,1
"469","2571256","DERBYSHIRE","East Midlands","Individual owned",1,"Enabling Futures Ltd","10/03/2020","high-overspend",NA,5,2,1
"470","2611210","LEEDS","Yorkshire and The Humber","Local Authority",4,"Leeds City Council","16/12/2020",NA,"low-outsourcing",4,1,1
"471","1263673","CALDERDALE","Yorkshire and The Humber","Individual owned",3,"Restorative Social Care Services Ltd","18/09/2017","high-overspend",NA,3,1,1
"472","1264333","LANCASHIRE","North West","Corporate owned",3,"Hexagon Care Services Ltd","26/04/2018","low-overspend",NA,6,1,1
"473","SC419429","LINCOLNSHIRE","East Midlands","Corporate owned",4,"Keys Direct Care Limited","18/10/2010","low-overspend","low-outsourcing",17,3,1
"474","SC480681","LANCASHIRE","North West","Corporate owned",6,"Hexagon Care Services Ltd","27/01/2015","low-overspend",NA,6,1,1
"475","SC020595","SHROPSHIRE","West Midlands","Corporate owned",4,"Family Care Associates Limited","06/09/1993","high-overspend",NA,8,4,1
"476","SC020630","SHROPSHIRE","West Midlands","Investment owned",6,"Castle Homes Care Limited","13/11/2001","high-overspend",NA,8,4,1
"477","SC020193","DERBYSHIRE","East Midlands","LA owned company",25,"The SENAD Group Limited","29/01/2001","high-overspend",NA,5,2,1
"478","2645184","LANCASHIRE","North West","Investment owned",4,"Horizon Care and Education Group Limited","17/08/2021","low-overspend",NA,6,1,1
"479","2661071","DURHAM","North East","Individual owned",5,"Hennessy Living Group Limited","03/08/2022",NA,"low-outsourcing",15,6,1
"480","2605508","CAMBRIDGESHIRE","East of England","Local Authority",8,"Cambridgeshire County Council","03/09/2020","low-overspend",NA,17,3,1
"481","SC059180","DURHAM","North East","Investment owned",5,"Cambian Childcare Ltd","31/03/2004",NA,"low-outsourcing",15,6,1
"482","2632726","GATESHEAD","North East","Individual owned",3,"Ashdown Care Homes Limited","21/11/2021",NA,"low-outsourcing",9,2,1
"483","SC010415","BARNET","London","Third sector",9,"Norwood Ravenswood","24/04/1994",NA,"high-outsourcing",6,1,1
"484","2675775","DERBYSHIRE","East Midlands","Corporate owned",4,"Ashwood Childrens Care Home Ltd","19/04/2022","high-overspend",NA,5,2,1
"485","2523030","LINCOLNSHIRE","East Midlands","Individual owned",16,"Longboat Special Education Ltd","23/05/2019","low-overspend","low-outsourcing",17,3,1
"486","2638781","MIDDLESBROUGH","North East","Individual owned",1,"EJ Childcare Services LTD","18/08/2022","high-overspend",NA,6,2,1
"487","SC392549","DURHAM","North East","Individual owned",3,"Duty of Care Limited","26/06/2009",NA,"low-outsourcing",15,6,1
"488","2634754","LEEDS","Yorkshire and The Humber","Investment owned",3,"Cambian Childcare Ltd","29/03/2021",NA,"low-outsourcing",4,1,1
"489","2635351","LANCASHIRE","North West","Individual owned",12,"Trax MX Ltd","06/09/2021","low-overspend",NA,6,1,1
"490","2604035","LEEDS","Yorkshire and The Humber","Corporate owned",3,"Hexagon Care Services Ltd","20/11/2020",NA,"low-outsourcing",4,1,1
"491","2604750","SUTTON","London","Local Authority",4,"London Borough of Sutton","09/10/2020",NA,"high-outsourcing",1,1,1
"492","SC476326","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Ltd","03/03/2014","high-overspend",NA,8,4,1
"493","SC476570","CAMBRIDGESHIRE","East of England","Investment owned",5,"Castle Homes Care Limited","06/05/2014","low-overspend",NA,17,3,1
"494","SC039683","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","19/08/2003","low-overspend",NA,6,1,1
"495","2583518","LANCASHIRE","North West","Individual owned",2,"XYP Childcare Ltd","25/05/2020","low-overspend",NA,6,1,1
"496","2616606","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","28/01/2021","low-overspend",NA,6,1,1
"497","2537252","NOTTINGHAMSHIRE","East Midlands","Corporate owned",2,"Homes 2 inspire","12/06/2019",NA,"high-outsourcing",2,1,1
"498","SC408656","REDCAR AND CLEVELAND","North East","Individual owned",4,"Highfield (North East) Limited","01/06/2010","high-overspend","low-outsourcing",6,1,1
"499","SC457434","MIDDLESBROUGH","North East","Investment owned",1,"Cambian Childcare Ltd","19/02/2013","high-overspend",NA,6,2,1
"500","2605512","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","26/01/2021","low-overspend",NA,6,1,1
"501","2606135","LANCASHIRE","North West","Corporate owned",1,"Connect Care Solutions Limited","10/01/2021","low-overspend",NA,6,1,1
"502","1254555","LANCASHIRE","North West","Investment owned",2,"Next Stage 4Life LTD","10/04/2017","low-overspend",NA,6,1,1
"503","2582246","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","04/03/2020","low-overspend",NA,6,1,1
"504","2579887","DORSET","South West","Individual owned",2,"Dorset Emergency Placement Services Ltd.","18/06/2020","high-overspend",NA,10,4,1
"505","2581237","LANCASHIRE","North West","Investment owned",8,"Your Chapter LTD","29/04/2020","low-overspend",NA,6,1,1
"506","SC441080","SHROPSHIRE","West Midlands","Investment owned",3,"Bryn Melyn Care Limited","13/01/2012","high-overspend",NA,8,4,1
"507","SC063103","LANCASHIRE","North West","Individual owned",5,"Lifetime Opportunities Ltd","21/03/2005","low-overspend",NA,6,1,1
"508","SC064735","LANCASHIRE","North West","Local Authority",3,"Lancashire County Council","27/09/2005","low-overspend",NA,6,1,1
"509","2617303","LANCASHIRE","North West","Individual owned",2,"Hopscotch Care Ltd","11/01/2021","low-overspend",NA,6,1,1
"510","SC488961","NOTTINGHAMSHIRE","East Midlands","Corporate owned",5,"United Children's Services Limited","18/03/2016",NA,"high-outsourcing",2,1,1
"511","SC449096","DURHAM","North East","Local Authority",4,"Durham County Council","25/06/2012",NA,"low-outsourcing",15,6,1
"512","SC366080","SHROPSHIRE","West Midlands","Investment owned",3,"Reflexion Care Group Limited","07/01/2008","high-overspend",NA,8,4,1
"513","SC366093","SHROPSHIRE","West Midlands","Investment owned",3,"Reflexion Care Group Limited","07/01/2008","high-overspend",NA,8,4,1
"514","SC372611","SHROPSHIRE","West Midlands","Investment owned",2,"Bryn Melyn Care Limited","02/07/2008","high-overspend",NA,8,4,1
"515","SC457573","DURHAM","North East","Investment owned",3,"Cambian Childcare Ltd","14/02/2013",NA,"low-outsourcing",15,6,1
"516","1255520","LANCASHIRE","North West","Investment owned",3,"Sandcastle Care Ltd","10/07/2017","low-overspend",NA,6,1,1
"517","2623842","NEWCASTLE UPON TYNE","North East","Local Authority",3,"Newcastle City Council","03/03/2021","low-overspend","low-outsourcing",11,4,1
"518","2675591","LANCASHIRE","North West","Individual owned",5,"Residential Childcare Community(Town Hall) LTD","22/04/2022","low-overspend",NA,6,1,1
"519","2680525","DERBYSHIRE","East Midlands","Individual owned",2,"Orchard Children Homes Ltd","14/09/2022","high-overspend",NA,5,2,1
"520","2679801","DERBYSHIRE","East Midlands","Investment owned",5,"Compass Childrens Homes Ltd","17/05/2022","high-overspend",NA,5,2,1
"521","SC035235","DURHAM","North East","Local Authority",3,"Durham County Council","04/09/2003",NA,"low-outsourcing",15,6,1
"522","SC036248","DERBYSHIRE","East Midlands","Local Authority",5,"Derbyshire County Council","11/12/2003","high-overspend",NA,5,2,1
"523","SC037596","WILTSHIRE","South West","Investment owned",4,"Wessex College Limited","15/11/2002","low-overspend",NA,3,1,1
"524","1250931","EAST SUSSEX","South East","Investment owned",6,"Compass Childrens Homes Ltd","22/02/2017","high-overspend",NA,5,1,1
"525","1252120","DURHAM","North East","Corporate owned",6,"Paddock House Limited","19/05/2017",NA,"low-outsourcing",15,6,1
"526","1241752","NOTTINGHAMSHIRE","East Midlands","Third sector",2,"The Caldecott Foundation Limited","05/12/2016",NA,"high-outsourcing",2,1,1
"527","1246331","LANCASHIRE","North West","Corporate owned",4,"MY3 Limited","30/01/2017","low-overspend",NA,6,1,1
"528","2545733","LANCASHIRE","North West","Individual owned",4,"Gracewells Care Ltd","23/10/2019","low-overspend",NA,6,1,1
"529","2509269","LANCASHIRE","North West","Individual owned",3,"New Horizons (NW) Ltd","31/01/2019","low-overspend",NA,6,1,1
"530","1229534","LANCASHIRE","North West","Corporate owned",8,"Halliwell Homes Limited","27/04/2016","low-overspend",NA,6,1,1
"531","1229766","CAMBRIDGESHIRE","East of England","Investment owned",29,"Aurora Care and Education Opco Limited","14/01/2016","low-overspend",NA,17,3,1
"532","2620678","SHROPSHIRE","West Midlands","Investment owned",4,"Compass Childrens Homes Ltd","13/04/2021","high-overspend",NA,8,4,1
"533","2621322","NOTTINGHAMSHIRE","East Midlands","Individual owned",1,"Safe Haven Adolescent Care Group Ltd","30/06/2021",NA,"high-outsourcing",2,1,1
"534","2647022","LANCASHIRE","North West","Individual owned",4,"Barracare Ltd","22/07/2021","low-overspend",NA,6,1,1
"535","2570253","LINCOLNSHIRE","East Midlands","Individual owned",5,"Pasture View Nurturing Homes Ltd","10/03/2020","low-overspend","low-outsourcing",17,3,1
"536","2572812","MEDWAY","South East","Corporate owned",5,"Acorn Homes (UK) Ltd","01/02/2022",NA,"high-outsourcing",6,1,1
"537","2600259","CALDERDALE","Yorkshire and The Humber","Individual owned",2,"Restorative Social Care Services Ltd","21/09/2020","high-overspend",NA,3,1,1
"538","SC480671","LANCASHIRE","North West","Corporate owned",8,"Hexagon Care Services Ltd","23/10/2014","low-overspend",NA,6,1,1
"539","SC482418","DURHAM","North East","Individual owned",4,"Hennessy Living Group Limited","13/04/2015",NA,"low-outsourcing",15,6,1
"540","SC042921","LINCOLNSHIRE","East Midlands","Local Authority",12,"Lincolnshire County Council","29/10/2003","low-overspend","low-outsourcing",17,3,1
"541","SC043255","LINCOLNSHIRE","East Midlands","Local Authority",6,"Lincolnshire County Council","20/01/2004","low-overspend","low-outsourcing",17,3,1
"542","SC476602","DURHAM","North East","Individual owned",3,"Duty of Care Limited","05/03/2015",NA,"low-outsourcing",15,6,1
"543","SC061803","LANCASHIRE","North West","Investment owned",4,"Sandcastle Care Ltd","14/09/2004","low-overspend",NA,6,1,1
"544","2530086","NEWCASTLE UPON TYNE","North East","Local Authority",3,"Newcastle City Council","25/06/2019","low-overspend","low-outsourcing",11,4,1
"545","1258343","WILTSHIRE","South West","Individual owned",4,"New Forest Care Ltd","19/09/2017","low-overspend",NA,3,1,1
"546","1259184","DERBYSHIRE","East Midlands","Corporate owned",4,"Ashwood Childrens Care Home Ltd","31/01/2018","high-overspend",NA,5,2,1
"547","SC064557","CAMBRIDGESHIRE","East of England","Individual owned",6,"4d Care Ltd","04/10/2005","low-overspend",NA,17,3,1
"548","2670263","NOTTINGHAMSHIRE","East Midlands","Third sector",4,"YMCA Robin Hood Group","18/03/2022",NA,"high-outsourcing",2,1,1
"549","2671651","NOTTINGHAMSHIRE","East Midlands","Corporate owned",2,"Homes 2 inspire","21/02/2022",NA,"high-outsourcing",2,1,1
"550","2675807","EAST SUSSEX","South East","Corporate owned",8,"Virtue Therapeutic Care and Education (East Sussex) Limited","29/04/2022","high-overspend",NA,5,1,1
"551","2676045","NORTH TYNESIDE","North East","Corporate owned",4,"HMO NE LTD","13/07/2022","high-overspend","low-outsourcing",11,4,1
"552","SC366112","SHROPSHIRE","West Midlands","Investment owned",1,"Reflexion Care Group Limited","07/01/2008","high-overspend",NA,8,4,1
"553","SC372504","DERBYSHIRE","East Midlands","LA owned company",55,"The Senad Group Limited","14/08/2009","high-overspend",NA,5,2,1
"554","1249035","LANCASHIRE","North West","Investment owned",6,"Your Chapter LTD","21/03/2017","low-overspend",NA,6,1,1
"555","SC006017","LANCASHIRE","North West","Corporate owned",1,"Care Afloat Ltd","20/06/2001","low-overspend",NA,6,1,1
"556","SC398391","SHROPSHIRE","West Midlands","Investment owned",3,"Hillcrest Childrens Services (2) Limited","21/07/2009","high-overspend",NA,8,4,1
"557","SC489038","LANCASHIRE","North West","Investment owned",8,"My Life-My Choice Limited","19/06/2015","low-overspend",NA,6,1,1
"558","1183911","CALDERDALE","Yorkshire and The Humber","Corporate owned",12,"Young Foundations Limited","05/11/2015","high-overspend",NA,3,1,1
"559","1221437","DORSET","South West","Individual owned",5,"Potensial Ltd","15/03/2016","high-overspend",NA,10,4,1
"560","SC489416","LANCASHIRE","North West","Investment owned",4,"Your Chapter LTD","12/08/2015","low-overspend",NA,6,1,1
"561","SC489820","DORSET","South West","Individual owned",4,"Potensial Ltd","09/10/2015","high-overspend",NA,10,4,1
"562","1156103","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Ltd","21/01/2016","high-overspend",NA,8,4,1
"563","1223501","LANCASHIRE","North West","Corporate owned",4,"Hexagon Care Services Ltd","04/02/2016","low-overspend",NA,6,1,1
"564","2519081","GATESHEAD","North East","Corporate owned",5,"Impact Childcare and Education Ltd ","06/06/2019",NA,"low-outsourcing",9,2,1
"565","2523037","CALDERDALE","Yorkshire and The Humber","Corporate owned",2,"Time-Out Childrens Homes Limited","17/04/2019","high-overspend",NA,3,1,1
"566","2507361","SHROPSHIRE","West Midlands","Investment owned",2,"Reflexion Care Group Limited","09/04/2019","high-overspend",NA,8,4,1
"567","SC015254","CAMBRIDGESHIRE","East of England","Investment owned",5,"Castle Homes Limited","01/08/1999","low-overspend",NA,17,3,1
"568","SC015266","CAMBRIDGESHIRE","East of England","Third sector",6,"The Partnership of The Chartwell Group ","13/02/1998","low-overspend",NA,17,3,1
"569","2665204","NOTTINGHAMSHIRE","East Midlands","Corporate owned",4,"Prime Nurture Services Limited","13/01/2022",NA,"high-outsourcing",2,1,1
"570","2665747","LANCASHIRE","North West","Individual owned",2,"SBL CARESERVICES (UK) LTD","01/02/2022","low-overspend",NA,6,1,1
"571","2668575","CAMBRIDGESHIRE","East of England","Individual owned",4,"Juventas Services Limited","10/12/2021","low-overspend",NA,17,3,1
"572","2669259","LINCOLNSHIRE","East Midlands","Individual owned",4,"Total Care Matters Limited","16/02/2022","low-overspend","low-outsourcing",17,3,1
"573","SC483856","LANCASHIRE","North West","Investment owned",5,"Cambian Childcare Ltd","12/10/2015","low-overspend",NA,6,1,1
"574","2527860","LANCASHIRE","North West","Investment owned",1,"Sandcastle Care Ltd","24/07/2019","low-overspend",NA,6,1,1
"575","2624723","DORSET","South West","Local Authority",1,"Dorset Council-Social Care, Children's Homes","08/03/2021","high-overspend",NA,10,4,1
"576","2626047","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Ltd","04/03/2021","high-overspend",NA,8,4,1
"577","2632889","LANCASHIRE","North West","Individual owned",2,"Holistic Care Service Nationwide Limited","30/06/2022","low-overspend",NA,6,1,1
"578","2634397","LANCASHIRE","North West","Individual owned",1,"XYP Childcare Ltd","27/03/2021","low-overspend",NA,6,1,1
"579","2654782","LANCASHIRE","North West","Individual owned",4,"Residential Child Care Community (North West) Limited","01/11/2021","low-overspend",NA,6,1,1
"580","SC065553","DERBYSHIRE","East Midlands","Local Authority",4,"Derbyshire County Council","24/10/2005","high-overspend",NA,5,2,1
"581","SC477428","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Local Authority",3,"North East Lincolnshire Council","10/09/2014","high-overspend",NA,8,2,1
"582","1276421","DURHAM","North East","Individual owned",4,"Invested Childcare LTD","16/08/2018",NA,"low-outsourcing",15,6,1
"583","1277726","NOTTINGHAMSHIRE","East Midlands","Investment owned",6,"Kisimul Group Ltd","25/06/2018",NA,"high-outsourcing",2,1,1
"584","1278217","HARTLEPOOL","North East","Individual owned",2,"North East Specialist Therapeutic Services CIC","19/12/2018",NA,"low-outsourcing",6,2,1
"585","SC411046","LANCASHIRE","North West","Individual owned",3,"Lifetime Opportunities Ltd","26/07/2010","low-overspend",NA,6,1,1
"586","SC411142","SHROPSHIRE","West Midlands","Investment owned",1,"Bryn Melyn Care Limited","03/06/2010","high-overspend",NA,8,4,1
"587","SC412296","EAST SUSSEX","South East","Individual owned",4,"Springfield Road Childrens Homes Ltd","15/11/2010","high-overspend",NA,5,1,1
"588","SC485956","LANCASHIRE","North West","Individual owned",2,"New Horizons (NW) Ltd","05/06/2015","low-overspend",NA,6,1,1
"589","2642643","DERBYSHIRE","East Midlands","Local Authority",4,"Derbyshire County Council","14/05/2021","high-overspend",NA,5,2,1
"590","SC020602","SHROPSHIRE","West Midlands","Investment owned",5,"Keys Nhcc Ltd","28/06/1996","high-overspend",NA,8,4,1
"591","SC420410","WILTSHIRE","South West","Individual owned",3,"Arc-HD Services Ltd","22/06/2011","low-overspend",NA,3,1,1
"592","2532036","LANCASHIRE","North West","Investment owned",3,"Horizon Care and Education Group Limited","01/05/2019","low-overspend",NA,6,1,1
"593","SC433430","DERBYSHIRE","East Midlands","Investment owned",4,"Esland North Limited","21/07/2011","high-overspend",NA,5,2,1
"594","SC436386","LINCOLNSHIRE","East Midlands","Investment owned",6,"Knossington Grange School Ltd","16/09/2011","low-overspend","low-outsourcing",17,3,1
"595","2602980","CAMBRIDGESHIRE","East of England","Local Authority",5,"Cambridgeshire County Council","03/09/2020","low-overspend",NA,17,3,1
"596","SC475335","NOTTINGHAMSHIRE","East Midlands","Individual owned",4,"Blue Mountain Homes Ltd","13/06/2014",NA,"high-outsourcing",2,1,1
"597","SC475710","DURHAM","North East","Investment owned",8,"Witherslack Group Ltd","03/06/2014",NA,"low-outsourcing",15,6,1
"598","SC475715","LANCASHIRE","North West","Investment owned",7,"Witherslack Group Ltd","08/05/2014","low-overspend",NA,6,1,1
"599","SC476289","DERBYSHIRE","East Midlands","Investment owned",5,"Cambian Childcare Ltd","15/01/2015","high-overspend",NA,5,2,1
"600","SC476303","GATESHEAD","North East","Investment owned",3,"Cambian Childcare Ltd","08/05/2014",NA,"low-outsourcing",9,2,1
"601","SC358046","DERBYSHIRE","East Midlands","LA owned company",32,"The Senad Group Limited","22/05/2009","high-overspend",NA,5,2,1
"602","1257796","CAMBRIDGESHIRE","East of England","Investment owned",12,"Cambian Childcare Ltd","31/05/2017","low-overspend",NA,17,3,1
"603","1258134","NOTTINGHAMSHIRE","East Midlands","Corporate owned",5,"Homes 2 inspire","14/08/2017",NA,"high-outsourcing",2,1,1
"604","1256904","LANCASHIRE","North West","Investment owned",3,"Next Stage 4Life LTD","23/04/2017","low-overspend",NA,6,1,1
"605","2543640","LANCASHIRE","North West","Individual owned",3,"Life Change Care Limited","28/10/2019","low-overspend",NA,6,1,1
"606","2591479","LANCASHIRE","North West","Corporate owned",3,"Nurture Childcare Services Ltd","04/08/2020","low-overspend",NA,6,1,1
"607","2593032","DERBYSHIRE","East Midlands","Investment owned",3,"Smoothstone Care & Education","09/07/2020","high-overspend",NA,5,2,1
"608","SC032163","DORSET","South West","Local Authority",9,"Dorset Council-Social Care, Children's Homes","18/07/2003","high-overspend",NA,10,4,1
"609","1275500","EAST SUSSEX","South East","Individual owned",2,"HEADSTART RESIDENTIAL CARE LTD","04/09/2018","high-overspend",NA,5,1,1
"610","SC452107","CAMBRIDGESHIRE","East of England","Corporate owned",3,"Semi-Independent House Limited","03/12/2012","low-overspend",NA,17,3,1
"611","SC453372","DURHAM","North East","Corporate owned",4,"Park Blue Homes Limited","24/04/2013",NA,"low-outsourcing",15,6,1
"612","SC454647","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Ltd","12/11/2012","high-overspend",NA,8,4,1
"613","2539201","NOTTINGHAMSHIRE","East Midlands","Investment owned",3,"Esland North Limited","28/08/2019",NA,"high-outsourcing",2,1,1
"614","SC472381","MIDDLESBROUGH","North East","Local Authority",4,"Middlesbrough Borough Council","03/01/2014","high-overspend",NA,6,2,1
"615","SC472795","NEWCASTLE UPON TYNE","North East","Investment owned",5,"ARTEMIS SUPPORT LIMITED","02/01/2014","low-overspend","low-outsourcing",11,4,1
"616","2684203","DURHAM","North East","Local Authority",2,"Durham County Council","14/06/2022",NA,"low-outsourcing",15,6,1
"617","2685151","LANCASHIRE","North West","Individual owned",2,"Trinity Care and Education Services Ltd","21/07/2022","low-overspend",NA,6,1,1
"618","2534436","LANCASHIRE","North West","Individual owned",3,"Brinscall Care Limited","15/07/2019","low-overspend",NA,6,1,1
"619","2548794","BARNET","London","Individual owned",5,"Seva Childcare Ltd","02/07/2020",NA,"high-outsourcing",6,1,1
"620","2686253","LANCASHIRE","North West","Corporate owned",2,"Embrace Care Ltd","09/09/2022","low-overspend",NA,6,1,1
"621","2495397","LANCASHIRE","North West","Corporate owned",2,"Future Focused Ltd","03/10/2018","low-overspend",NA,6,1,1
"622","2680522","WILTSHIRE","South West","Investment owned",8,"Witherslack Group Ltd","15/08/2022","low-overspend",NA,3,1,1
"623","SC001016","CALDERDALE","Yorkshire and The Humber","Investment owned",4,"Keys BR Limited","21/02/2001","high-overspend",NA,3,1,1
