"","URN","Local.authority","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","matched"
"1411","1254740","PLYMOUTH","Investment owned",2,"South West Childcare Services","07/04/2017",NA,NA,1
"1412","1254841","SUNDERLAND","Third sector",6,"Together for Children Sunderland Limited","31/03/2017",NA,"low-outsourcing",1
"1413","2680573","HALTON","Individual owned",2,"Attivo Care Ltd","25/07/2022","high-overspend",NA,1
"1414","2683331","ESSEX","Investment owned",6,"Compass Childrens Homes Ltd","18/07/2022",NA,NA,1
"1415","2683445","LINCOLNSHIRE","Investment owned",3,"Cambian Childcare Ltd","17/05/2022","low-overspend","low-outsourcing",1
"1416","SC032496","TRAFFORD","Local Authority",6,"Trafford Borough Council","05/02/2004",NA,"low-outsourcing",1
"1417","SC033370","LEEDS","Local Authority",5,"Leeds City Council","17/07/2003",NA,"low-outsourcing",1
"1418","1249326","STAFFORDSHIRE","Investment owned",4,"Unity Residential Care Services Limited","08/03/2017",NA,NA,1
"1419","1250253","SUFFOLK","Individual owned",4,"Achieving Aspirations  Community Interest Company","29/12/2016",NA,NA,1
"1420","1250915","ROCHDALE","Corporate owned",3,"Meadows Care Limited","16/03/2017",NA,"low-outsourcing",1
"1421","2532131","NORFOLK","Corporate owned",6,"Cascade (Banks House) Limited","12/07/2019",NA,NA,1
"1422","2533483","STOCKTON ON TEES","Investment owned",5,"Witherslack Group Ltd","02/08/2019",NA,NA,1
"1423","2534185","DERBYSHIRE","Corporate owned",4,"Care 4 Every Child Ltd","26/10/2019","high-overspend",NA,1
"1424","2534589","TORBAY","Individual owned",3,"Lighthouse Southwest Ltd","02/09/2019","low-overspend",NA,1
"1425","2535166","WILTSHIRE","Investment owned",3,"Aspris Children's Services Limited","06/08/2019","low-overspend",NA,1
"1426","2519592","TAMESIDE","Investment owned",4,"Your Chapter LTD","08/04/2019",NA,NA,1
"1427","1258089","WAKEFIELD","Investment owned",4,"Horizon Care and Education Group Limited","02/02/2018",NA,NA,1
"1428","1246449","HAMPSHIRE","Individual owned",5,"New Forest Care Ltd","09/02/2017",NA,NA,1
"1429","1249787","DEVON","Individual owned",1,"One To One Crisis Intervention Ltd","16/12/2016",NA,NA,1
"1430","1252095","CALDERDALE","Individual owned",2,"Restorative Social Care Services Ltd","28/02/2017","high-overspend",NA,1
"1431","1254308","DERBYSHIRE","Corporate owned",5,"Homes 2 inspire","24/05/2017","high-overspend",NA,1
"1432","1254864","NOTTINGHAMSHIRE","Corporate owned",3,"Homes 2 inspire","24/05/2017",NA,"high-outsourcing",1
"1433","1255747","WEST NORTHAMPTONSHIRE","Corporate owned",5,"Homes 2 inspire","24/05/2017",NA,NA,1
"1434","1235654","LEICESTERSHIRE","Investment owned",4,"Horizon Care and Education Group Limited","15/07/2016","low-overspend",NA,1
"1435","SC044562","LINCOLNSHIRE","Investment owned",39,"Kisimul Group Ltd","25/07/2003","low-overspend","low-outsourcing",1
"1436","SC045408","SURREY","Local Authority",2,"Surrey County Council","19/11/2003",NA,NA,1
"1437","1214270","CHESHIRE EAST","Investment owned",1,"Esland North Limited","18/12/2015",NA,NA,1
"1438","1226977","KENT","Individual owned",2,"Moonreach LTD","12/04/2016",NA,NA,1
"1439","1226978","NORTH YORKSHIRE","Investment owned",2,"Cambian Childcare Ltd","26/05/2016","low-overspend","low-outsourcing",1
"1440","SC370910","CAMBRIDGESHIRE","Investment owned",3,"Keys Care Limited","15/02/2008","low-overspend",NA,1
"1441","SC376719","SHROPSHIRE","Investment owned",2,"Reflexion Care Group Limited","26/06/2008","high-overspend",NA,1
"1442","SC438624","WINDSOR AND MAIDENHEAD","Investment owned",2,"Keys Care Limited","01/11/2011",NA,"high-outsourcing",1
"1443","SC439116","TRAFFORD","Corporate owned",2,"Aspireone Care Ltd","16/01/2012",NA,"low-outsourcing",1
"1444","SC464958","SHROPSHIRE","Investment owned",6,"Cambian Childcare Ltd","07/08/2013","high-overspend",NA,1
"1445","SC465579","KENT","Individual owned",3,"Benecare Limited","16/08/2013",NA,NA,1
"1446","2590934","LEWISHAM","Individual owned",2,"Zone Central Ltd","25/06/2020",NA,"high-outsourcing",1
"1447","2591888","TAMESIDE","Corporate owned",4,"New Horizons (Stockport) Ltd","16/06/2020",NA,NA,1
"1448","2592242","DEVON","Investment owned",3,"Aspris Children's Services Limited","18/09/2020",NA,NA,1
"1449","2593579","HARINGEY","Individual owned",5,"Sunrise Hill Care Ltd","04/08/2020","high-overspend",NA,1
"1450","2593651","ROTHERHAM","Investment owned",4,"Pathway Care Solutions Group Limited","27/07/2020",NA,NA,1
"1451","2593915","SALFORD","Individual owned",3,"Stepping Stones Childrens Homes Limited","14/09/2020",NA,"low-outsourcing",1
"1452","2613649","ESSEX","Investment owned",4,"Pathways Care Group","12/04/2021",NA,NA,1
"1453","2614703","LANCASHIRE","Individual owned",4,"New Horizons (NW) Ltd","11/01/2021","low-overspend",NA,1
"1454","2614937","OXFORDSHIRE","Investment owned",4,"Witherslack Group Ltd","24/02/2021",NA,NA,1
"1455","2616741","KIRKLEES","Investment owned",1,"Cambian Childcare Ltd","04/01/2021",NA,NA,1
"1456","SC486165","WIRRAL","Corporate owned",4,"Good Foundations ltd","05/03/2015",NA,NA,1
"1457","SC486604","NORTHUMBERLAND","Local Authority",4,"Northumberland County Council","23/01/2015",NA,"low-outsourcing",1
"1458","SC489226","KIRKLEES","Individual owned",5,"Netheredge Care Limited","30/12/2015",NA,NA,1
"1459","1027164","CHESHIRE WEST AND CHESTER","Investment owned",6,"Your Chapter LTD","10/08/2015",NA,NA,1
"1460","1155780","SHROPSHIRE","Investment owned",4,"Cambian Childcare Ltd","16/11/2015","high-overspend",NA,1
"1461","1159903","SALFORD","Individual owned",5,"Holistic Approach Ltd","08/10/2015",NA,"low-outsourcing",1
"1462","2612810","TAMESIDE","Corporate owned",3,"Pure Care Homes Ltd","19/01/2021",NA,NA,1
"1463","2613327","BIRMINGHAM","Individual owned",2,"Serenity Specialist Care Ltd","13/04/2021","low-overspend",NA,1
"1464","SC355839","BARNSLEY","Investment owned",2,"Dove Adolescent Services Limited","02/07/2007",NA,NA,1
"1465","SC356604","BARNSLEY","Investment owned",4,"Pebbles Care Limited","04/09/2007",NA,NA,1
"1466","SC356963","KIRKLEES","Local Authority",6,"Kirklees Council","28/03/2007",NA,NA,1
"1467","SC357981","KENT","Individual owned",4,"Benecare Limited","03/09/2007",NA,NA,1
"1468","SC366104","STAFFORDSHIRE","Investment owned",3,"Reflexion Care Group Limited","20/12/2007",NA,NA,1
"1469","2523028","BLACKPOOL","Investment owned",1,"Sandcastle Care Ltd","28/05/2019",NA,NA,1
"1470","2523036","BLACKPOOL","Individual owned",2,"Outbound Care Limited","04/07/2019",NA,NA,1
"1471","2525807","WORCESTERSHIRE","Individual owned",4,"Absolute Children's Care Limited","26/07/2019",NA,NA,1
"1472","2528516","SUFFOLK","Investment owned",6,"Compass Childrens Homes Ltd","30/05/2019",NA,NA,1
"1473","2495335","HALTON","Investment owned",4,"Keys Education Ltd","12/10/2018","high-overspend",NA,1
"1474","2495951","LEICESTERSHIRE","Individual owned",3,"T-Junction Children's Services Ltd","16/10/2018","low-overspend",NA,1
"1475","1278966","DERBYSHIRE","Investment owned",6,"Smoothstone Care & Education","20/08/2018","high-overspend",NA,1
"1476","2490994","NOTTINGHAMSHIRE","Individual owned",3,"Jigsaw Therapeutic Care Limited","13/02/2019",NA,"high-outsourcing",1
"1477","2497538","CAMBRIDGESHIRE","Corporate owned",5,"Heartwood RSC Ltd","15/02/2019","low-overspend",NA,1
"1478","2502333","READING","Third sector",7,"Brighter Futures For Children Limited","29/11/2018",NA,"high-outsourcing",1
"1479","2503143","ENFIELD","Corporate owned",4,"Solace Care Partners Limited","04/10/2019",NA,NA,1
"1480","SC464762","WALSALL","Local Authority",6,"Walsall Metropolitan Borough Council","28/08/2013",NA,NA,1
"1481","1235384","LANCASHIRE","Individual owned",2,"New Horizons (NW) Ltd","12/08/2016","low-overspend",NA,1
"1482","1235653","MERTON","Individual owned",4,"Children Of The Mangrove Limited","12/04/2016",NA,NA,1
"1483","1236832","CENTRAL BEDFORDSHIRE","Individual owned",4,"Benjamin UK Ltd","08/07/2016","high-overspend",NA,1
"1484","1240844","LANCASHIRE","Investment owned",2,"Your Chapter Holdings Limited","16/02/2017","low-overspend",NA,1
"1485","1241023","WEST SUSSEX","Corporate owned",8,"Treehouse Educare Limited","18/08/2016",NA,NA,1
"1486","SC489212","OXFORDSHIRE","Corporate owned",12,"MacIntyre Academies","07/07/2015",NA,NA,1
"1487","SC359818","WOLVERHAMPTON","Investment owned",4,"Cambian Childcare Ltd","30/03/2007",NA,NA,1
"1488","SC362094","SHROPSHIRE","Investment owned",2,"Keys Nhcc Ltd","19/11/2007","high-overspend",NA,1
"1489","SC363422","LINCOLNSHIRE","Investment owned",3,"Keys Educational Services Limited","10/09/2007","low-overspend","low-outsourcing",1
"1490","SC366002","CHESHIRE WEST AND CHESTER","Investment owned",4,"Keys ACE Limited","23/01/2008",NA,NA,1
"1491","SC454265","ST HELENS","Individual owned",1,"2nd Nurture Ltd","31/01/2013",NA,NA,1
"1492","1240884","LANCASHIRE","Investment owned",2,"Your Chapter Holdings Limited","24/10/2016","low-overspend",NA,1
"1493","1241782","LANCASHIRE","Local Authority",6,"Lancashire County Council","14/12/2016","low-overspend",NA,1
"1494","1244117","NOTTINGHAMSHIRE","Third sector",5,"Caldecott Foundation Limited","01/12/2016",NA,"high-outsourcing",1
"1495","1244287","LANCASHIRE","Investment owned",5,"ROC Northwest Limited ","11/10/2016","low-overspend",NA,1
"1496","1247212","ST HELENS","Corporate owned",4,"Exceptional Care Limited","07/02/2017",NA,NA,1
"1497","1248773","DURHAM","Individual owned",3,"Resilience North East Limited","23/02/2017",NA,"low-outsourcing",1
"1498","2682524","HAMPSHIRE","Investment owned",4,"Sportfit Support Services Ltd","12/07/2022",NA,NA,1
"1499","2685250","BURY","Corporate owned",3,"Pure Care Homes Ltd","27/07/2022",NA,NA,1
"1500","1262657","LANCASHIRE","Investment owned",2,"Sandcastle Care Ltd","18/09/2017","low-overspend",NA,1
"1501","1263199","WIGAN","Investment owned",6,"Witherslack Group Ltd","28/09/2017","high-overspend",NA,1
"1502","1266835","BATH AND NORTH EAST SOMERSET","Third sector",5,"Action for Children","25/10/2017",NA,NA,1
"1503","2567722","BRISTOL","Local Authority",2,"Bristol City Council","07/01/2020",NA,NA,1
"1504","SC476236","SHROPSHIRE","Investment owned",4,"Cambian Childcare Ltd","24/04/2014","high-overspend",NA,1
"1505","2516349","BLACKPOOL","Individual owned",2,"Outbound Care Limited","13/08/2019",NA,NA,1
"1506","2517184","DURHAM","Corporate owned",2,"ROC Family Support Ltd","21/03/2019",NA,"low-outsourcing",1
"1507","2522240","SUNDERLAND","Third sector",8,"Investing In Children Cic","09/05/2019",NA,"low-outsourcing",1
"1508","2526987","HERTFORDSHIRE","Individual owned",2,"Jasmine Gardens Private Ltd","18/06/2019",NA,NA,1
"1509","SC064663","SEFTON","Unidentified for-profit",7,"Mr Jim Buchanan & Mrs Ivy Thompson","15/08/2005","high-overspend",NA,1
"1510","SC064836","ROCHDALE","Corporate owned",3,"Meadows Care Limited","07/07/2005",NA,"low-outsourcing",1
"1511","SC065059","STOKE ON TRENT","Local Authority",2,"Stoke On Trent City Council","22/02/2006",NA,NA,1
"1512","SC450728","CALDERDALE","Corporate owned",2,"Time-Out Childrens Homes Limited","13/08/2012","high-overspend",NA,1
"1513","SC361090","KENT","Individual owned",5,"Tulip Care One Limited t/as TulipCare","02/11/2007",NA,NA,1
"1514","SC361385","NORFOLK","Individual owned",5,"Clover Childcare Services Ltd","05/10/2007",NA,NA,1
"1515","SC363268","HAMPSHIRE","Individual owned",3,"New Forest Care Ltd","09/01/2008",NA,NA,1
"1516","SC370899","LINCOLNSHIRE","Investment owned",3,"Keys Care Limited","15/02/2008","low-overspend","low-outsourcing",1
"1517","SC376211","STAFFORDSHIRE","Investment owned",6,"CareTech Community Services Limited","12/05/2008",NA,NA,1
"1518","SC458415","DURHAM","Third sector",6,"North East Autism Society","30/01/2013",NA,"low-outsourcing",1
"1519","SC386505","HALTON","Investment owned",3,"Keys Education Ltd","11/06/2009","high-overspend",NA,1
"1520","SC025713","STOCKPORT","Third sector",3,"The Together Trust","15/02/1999",NA,"low-outsourcing",1
"1521","SC028868","GLOUCESTERSHIRE","Corporate owned",4,"Step-a-Side Company Limited","09/05/2002",NA,NA,1
"1522","SC030650","GLOUCESTERSHIRE","Corporate owned",5,"Step-a-Side Company Limited","20/12/2002",NA,NA,1
"1523","SC031220","CALDERDALE","Investment owned",6,"Compass Childrens Homes Ltd","24/09/2002","high-overspend",NA,1
"1524","SC032439","WILTSHIRE","Local Authority",7,"Wiltshire Council","19/02/2004","low-overspend",NA,1
"1525","SC032475","TRAFFORD","Local Authority",5,"Trafford Borough Council","09/12/2003",NA,"low-outsourcing",1
"1526","SC025712","STOCKPORT","Third sector",2,"The Together Trust","01/12/1997",NA,"low-outsourcing",1
"1527","SC386003","CUMBRIA","Individual owned",5,"Appletree Treatment Centre Limited","05/12/2008",NA,NA,1
"1528","SC390293","DONCASTER","Corporate owned",3,"First 4 Care Ltd","27/03/2009",NA,NA,1
"1529","SC391379","MILTON KEYNES","Individual owned",4,"Benjamin UK Ltd","27/05/2009",NA,NA,1
"1530","SC391860","STAFFORDSHIRE","Investment owned",12,"Aspris Children's Services Limited","07/07/2009",NA,NA,1
"1531","SC394875","STAFFORDSHIRE","Individual owned",2,"Future In Mind Limited","30/06/2009",NA,NA,1
"1532","SC037986","BRACKNELL FOREST","Local Authority",5,"Bracknell Forest Borough Council","09/12/2003",NA,NA,1
"1533","SC398386","TELFORD AND WREKIN","Investment owned",4,"Hillcrest Childrens Services (2) Limited","21/07/2009",NA,NA,1
"1534","SC400301","HERTFORDSHIRE","Local Authority",5,"Hertfordshire County Council","21/09/2009",NA,NA,1
"1535","SC401927","KENT","Individual owned",4,"Benecare Limited","16/02/2010",NA,NA,1
"1536","2701187","DONCASTER","Local Authority",4,"Doncaster Metropolitan Borough Council","31/08/2022",NA,NA,1
"1537","SC013828","SURREY","Third sector",6,"White Lodge Centre","07/04/1986",NA,NA,1
"1538","SC065067","SALFORD","Local Authority",5,"Salford City Council","01/09/2005",NA,"low-outsourcing",1
"1539","SC065189","ROCHDALE","Corporate owned",3,"Meadows Care Limited","05/09/2005",NA,"low-outsourcing",1
"1540","1241261","LEICESTERSHIRE","Investment owned",2,"The Place Young People's Company","07/10/2016","low-overspend",NA,1
"1541","1241939","ISLE OF WIGHT","Individual owned",3,"Island Choices Ltd","30/11/2016",NA,NA,1
"1542","1242216","LEICESTERSHIRE","Investment owned",4,"Keys Care Limited","22/09/2016","low-overspend",NA,1
"1543","1244137","DEVON","Investment owned",2,"Phoenix Learning & Care Holdings Limited","25/10/2016",NA,NA,1
"1544","1244161","DERBYSHIRE","Individual owned",1,"Blue Mountain Homes Ltd","19/09/2016","high-overspend",NA,1
"1545","1244413","STOCKTON ON TEES","Investment owned",3,"No. 57 Ltd","03/02/2017",NA,NA,1
"1546","SC005041","STAFFORDSHIRE","Investment owned",10,"Caretech Community Services Limited","17/02/1997",NA,NA,1
"1547","SC005045","STAFFORDSHIRE","Corporate owned",3,"The Partnership Of Care Today","27/01/2000",NA,NA,1
"1548","SC006013","LANCASHIRE","Corporate owned",1,"Care Afloat Ltd","20/06/2001","low-overspend",NA,1
"1549","SC008273","STOKE ON TRENT","Individual owned",2,"Searchlight Care Services Ltd","18/04/2001",NA,NA,1
"1550","1233307","NEWCASTLE UPON TYNE","Local Authority",6,"Newcastle City Council","28/11/2016","low-overspend","low-outsourcing",1
"1551","1234166","NEWHAM","Individual owned",3,"Jamores Limited","20/09/2016","low-overspend","high-outsourcing",1
"1552","2636225","CALDERDALE","Individual owned",2,"Gravitas Care LTD","23/12/2021","high-overspend",NA,1
"1553","2637805","THURROCK","Individual owned",4,"Green Harvest Capital Consulting Ltd","01/06/2021",NA,"high-outsourcing",1
"1554","2638470","STAFFORDSHIRE","Individual owned",3,"Acheron Care Limited","28/04/2021",NA,NA,1
"1555","2640099","LANCASHIRE","Investment owned",3,"Northridge Care Group Ltd","21/07/2021","low-overspend",NA,1
"1556","2644456","CAMBRIDGESHIRE","Individual owned",4,"Juventas Services Limited","17/09/2021","low-overspend",NA,1
"1557","2644925","LANCASHIRE","Corporate owned",4,"Exceptional Care Limited","09/11/2021","low-overspend",NA,1
"1558","2645199","SOUTHAMPTON","Investment owned",2,"Budwood Limited","10/09/2021",NA,NA,1
"1559","SC457089","SHROPSHIRE","Investment owned",2,"Cambian Childcare Ltd","16/01/2013","high-overspend",NA,1
"1560","SC457433","HALTON","Investment owned",1,"Cambian Childcare Ltd","14/02/2013","high-overspend",NA,1
"1561","SC398481","STAFFORDSHIRE","Investment owned",5,"Hillcrest Childrens Services (2) Limited","21/07/2009",NA,NA,1
"1562","2654620","HACKNEY","Corporate owned",2,"Montage Services Limited","17/09/2021",NA,NA,1
"1563","2661511","LANCASHIRE","Individual owned",4,"Brinscall Care Limited","19/04/2022","low-overspend",NA,1
"1564","2662751","LANCASHIRE","Individual owned",1,"Holywell Children's Services Limited","31/01/2022","low-overspend",NA,1
"1565","2662813","ST HELENS","Investment owned",1,"Cambian Childcare Ltd","07/01/2022",NA,NA,1
"1566","2666995","HAMPSHIRE","Corporate owned",5,"Assure Care Homes Ltd","18/11/2021",NA,NA,1
"1567","1259061","LANCASHIRE","Individual owned",2,"Outbound Care Limited","08/09/2017","low-overspend",NA,1
"1568","1259114","STAFFORDSHIRE","Investment owned",3,"Unity Residential Care Services Limited","25/01/2018",NA,NA,1
"1569","SC025812","CROYDON","Individual owned",4,"McRae Residential Care Services Limited","06/06/1996","low-overspend",NA,1
"1570","2596421","ESSEX","Investment owned",2,"Cambian Childcare Ltd","01/10/2020",NA,NA,1
"1571","1269565","HAMMERSMITH AND FULHAM","Third sector",4,"Q+","24/01/2018",NA,NA,1
"1572","1273658","BIRMINGHAM","Third sector",16,"Birmingham Children's Trust Community Interest Company","20/03/2018","low-overspend",NA,1
"1573","1276249","LEICESTERSHIRE","Investment owned",3,"Esland North Limited","29/05/2018","low-overspend",NA,1
"1574","1276719","CORNWALL","Corporate owned",3,"Devon & Cornwall Autistic Community Trust","16/05/2018",NA,NA,1
"1575","1277045","CORNWALL","Investment owned",4,"Pathway Care Solutions Ltd","03/08/2018",NA,NA,1
"1576","1277861","GLOUCESTERSHIRE","Individual owned",5,"Genesis CTE Ltd","06/06/2018",NA,NA,1
"1577","1278022","SEFTON","Individual owned",2,"Independent Living Services (North West) Limited","18/05/2018","high-overspend",NA,1
"1578","1280578","GLOUCESTERSHIRE","Investment owned",6,"Keys QTC Limited","29/06/2018",NA,NA,1
"1579","2484443","SOMERSET","Individual owned",3,"Impact For Change Ltd","20/08/2018",NA,NA,1
"1580","2490999","LEICESTERSHIRE","Corporate owned",3,"Changing Lives Care Group Ltd","04/10/2018","low-overspend",NA,1
"1581","2669971","HERTFORDSHIRE","Investment owned",4,"Keys Child Care Ltd","21/02/2022",NA,NA,1
"1582","2670262","LANCASHIRE","Individual owned",4,"New Horizons (NW) Ltd","08/04/2022","low-overspend",NA,1
"1583","2672559","MANCHESTER","Corporate owned",2,"Care Today (Children's Services) Ltd","21/04/2022",NA,NA,1
"1584","SC028598","WALTHAM FOREST","Individual owned",5,"Ja Nailah Limited","01/05/2002",NA,NA,1
"1585","SC031410","EAST SUSSEX","Local Authority",7,"East Sussex County Council","31/07/2003","high-overspend",NA,1
"1586","SC032154","BARNSLEY","Third sector",8,"National Autistic Society (The)","18/08/2004",NA,NA,1
"1587","2686524","NORTHUMBERLAND","Individual owned",4,"Sunbridge Childcare Ltd","11/07/2022",NA,"low-outsourcing",1
"1588","SC044975","ESSEX","Local Authority",4,"Essex County Council","19/07/2004",NA,NA,1
"1589","SC028599","LUTON","Individual owned",7,"Children and Family Services Limited","01/05/2002",NA,"high-outsourcing",1
"1590","SC031479","SOUTHWARK","Local Authority",5,"London Borough of Southwark","28/03/2003",NA,NA,1
"1591","2502314","SHROPSHIRE","Investment owned",3,"Cambian Childcare Ltd","29/01/2019","high-overspend",NA,1
"1592","2502918","NORTH NORTHAMPTONSHIRE","Individual owned",2,"Protea Care Limited","21/01/2019",NA,NA,1
"1593","2504775","HAMPSHIRE","Corporate owned",6,"Purple Oak Support","12/02/2019",NA,NA,1
"1594","2505172","HARROW","Individual owned",2,"Curam Domi Solutions Ltd","09/04/2019",NA,NA,1
"1595","2508601","LANCASHIRE","Corporate owned",3,"MY3 Limited","11/04/2019","low-overspend",NA,1
"1596","2509280","CALDERDALE","Investment owned",2,"Sandcastle Care Ltd","05/03/2019","high-overspend",NA,1
"1597","2509366","WAKEFIELD","Corporate owned",2,"Hexagon Care Services Ltd","18/03/2019",NA,NA,1
"1598","2544217","NOTTINGHAMSHIRE","Individual owned",5,"Absolute Childrens Services Ltd","18/07/2019",NA,"high-outsourcing",1
"1599","SC000820","DARLINGTON","Individual owned",5,"Pear Tree Projects Limited","28/06/2001",NA,NA,1
"1600","SC036584","WALSALL","Local Authority",4,"Walsall Metropolitan Borough Council","31/03/2003",NA,NA,1
"1601","2596541","LANCASHIRE","Investment owned",2,"Sandcastle Care Ltd","29/10/2020","low-overspend",NA,1
"1602","2597747","LUTON","Individual owned",3,"5ab Care Ltd","23/10/2020",NA,"high-outsourcing",1
"1603","2599183","CHESHIRE WEST AND CHESTER","Individual owned",3,"Omega care Group LTD","25/08/2020",NA,NA,1
"1604","2689544","LANCASHIRE","Corporate owned",3,"Cherish Childrens Care Ltd","06/06/2022","low-overspend",NA,1
"1605","2691579","REDBRIDGE","Corporate owned",2,"Tutelage Care Hatley Ltd","18/07/2022",NA,"high-outsourcing",1
"1606","2692580","HALTON","Corporate owned",2,"Sure Steps Support Services Ltd","10/08/2022","high-overspend",NA,1
"1607","2694962","LANCASHIRE","Individual owned",2,"Trinity Care and Education Services Ltd","05/09/2022","low-overspend",NA,1
"1608","2697861","SOMERSET","Investment owned",3,"Headway Adolescent Resources Limited","23/09/2022",NA,NA,1
"1609","SC038522","WEST SUSSEX","Investment owned",5,"Southern Adolescent Care Services Ltd","13/11/2002",NA,NA,1
"1610","SC404983","STAFFORDSHIRE","Individual owned",2,"Roundhouse Care Limited","22/01/2010",NA,NA,1
"1611","SC406636","ST HELENS","Unidentified for-profit",5,"Building Bridges Care Homes Ltd","24/03/2010",NA,NA,1
"1612","SC407430","WILTSHIRE","Investment owned",4,"Wessex College Limited","22/04/2010","low-overspend",NA,1
"1613","SC408369","STOKE ON TRENT","Local Authority",2,"Stoke On Trent City Council","11/03/2010",NA,NA,1
"1614","2664326","KIRKLEES","Individual owned",3,"Northern Community Pathways Childrens Residential Services Limited","17/12/2021",NA,NA,1
"1615","SC359836","LANCASHIRE","Local Authority",6,"Lancashire County Council","05/09/2007","low-overspend",NA,1
"1616","SC363393","SOMERSET","Investment owned",3,"Keys Educational Services Limited","10/09/2007",NA,NA,1
"1617","1249031","WIRRAL","Investment owned",3,"Keys Group Progressive Care & Education Limited","02/12/2016",NA,NA,1
"1618","1253711","BIRMINGHAM","Individual owned",3,"Beacon Childcare Ltd","10/07/2017","low-overspend",NA,1
"1619","1254055","BLACKPOOL","Investment owned",4,"Sandcastle Care Ltd","21/08/2017",NA,NA,1
"1620","1254316","KINGSTON UPON HULL","Individual owned",4,"Rite Directions Ltd","06/09/2017",NA,NA,1
"1621","1255407","DEVON","Investment owned",4,"Phoenix Learning & Care Holdings Limited","18/09/2017",NA,NA,1
"1622","2507889","BLACKPOOL","Individual owned",1,"Outbound Care Limited","07/05/2019",NA,NA,1
"1623","2509473","KENT","Individual owned",4,"Back On Track Children's Services Se Ltd.","12/02/2019",NA,NA,1
"1624","2517046","KINGSTON UPON HULL","Local Authority",1,"Hull City Council","01/02/2019",NA,NA,1
"1625","2520922","STOCKTON ON TEES","Individual owned",6,"Hennessy Living Group Limited","06/06/2019",NA,NA,1
"1626","SC033457","LEEDS","Local Authority",24,"Leeds City Council","10/07/2003",NA,"low-outsourcing",1
"1627","SC458115","SHEFFIELD","Local Authority",19,"Sheffield City Council","01/02/2013",NA,NA,1
"1628","SC443009","SUFFOLK","Individual owned",6,"Barnardiston Hall Preparatory School Limited","21/05/2012",NA,NA,1
"1629","SC444289","NORTH YORKSHIRE","Individual owned",4,"Pear Tree Projects Limited","03/07/2012","low-overspend","low-outsourcing",1
"1630","SC447768","NORTH SOMERSET","Investment owned",3,"Headway Adolescent Resources Limited","26/06/2012",NA,NA,1
"1631","SC449307","HAMPSHIRE","Investment owned",7,"Aspris Children's Services Limited","27/12/2012",NA,NA,1
"1632","SC481312","WORCESTERSHIRE","Investment owned",2,"Keys Specialist Residential Children's Services Ltd","04/09/2014",NA,NA,1
"1633","SC482415","LEEDS","Individual owned",4,"Keir Lock Children's Homes Ltd","09/10/2015",NA,"low-outsourcing",1
"1634","SC482419","BARNSLEY","Investment owned",3,"Cambian Childcare Ltd","11/01/2015",NA,NA,1
"1635","SC482517","WARWICKSHIRE","Corporate owned",4,"Hexagon Care Services Ltd","29/01/2015",NA,NA,1
"1636","SC482569","NORTH SOMERSET","Corporate owned",4,"Hexagon Care Services Ltd","20/01/2015",NA,NA,1
"1637","1271222","LANCASHIRE","Individual owned",5,"GS Social Care Solutions Ltd","25/01/2018","low-overspend",NA,1
"1638","1271581","BOLTON","Investment owned",2,"Nestlings Care Ltd","04/04/2018",NA,"low-outsourcing",1
"1639","1273485","BIRMINGHAM","Third sector",7,"Birmingham Children's Trust Community Interest Company","21/03/2018","low-overspend",NA,1
"1640","1274093","NORTH NORTHAMPTONSHIRE","Corporate owned",5,"Homes 2 inspire","07/06/2018",NA,NA,1
"1641","1274672","KIRKLEES","Individual owned",2,"Harmony Childrens Services ","10/12/2018",NA,NA,1
"1642","2573614","DEVON","Investment owned",2,"Phoenix Learning & Care Holdings Limited","13/03/2020",NA,NA,1
"1643","2575432","WIGAN","Individual owned",2,"All Round Care Ltd","01/05/2020","high-overspend",NA,1
"1644","2575551","ROTHERHAM","Individual owned",1,"Advanced Adolescent Care Solutions Ltd","03/03/2021",NA,NA,1
"1645","SC443337","HAMMERSMITH AND FULHAM","Local Authority",7,"London Borough of Hammersmith & Fulham","10/02/2012",NA,NA,1
"1646","SC448209","SHROPSHIRE","Individual owned",12,"Amberleigh Care Limited","27/07/2012","high-overspend",NA,1
"1647","SC452461","NORFOLK","Investment owned",8,"SES Turnstone Limited","28/09/2012",NA,NA,1
"1648","2618541","LANCASHIRE","Investment owned",2,"Cambian Childcare Ltd","15/02/2021","low-overspend",NA,1
"1649","2620222","BLACKPOOL","Investment owned",2,"Sandcastle Care Ltd","14/07/2021",NA,NA,1
"1650","2620865","WARRINGTON","Investment owned",6,"Courtyard Care Limited","15/12/2020",NA,NA,1
"1651","2613032","HARTLEPOOL","Individual owned",5,"Hennessy Living Group Limited","09/12/2020",NA,"low-outsourcing",1
"1652","1159763","DARLINGTON","Investment owned",7,"Witherslack Group Ltd","08/09/2015",NA,NA,1
"1653","1159868","DORSET","Investment owned",3,"Cambian Childcare Ltd","29/10/2015","high-overspend",NA,1
"1654","1211772","NORTH YORKSHIRE","Investment owned",6,"Aspris Children's Services Limited","17/12/2015","low-overspend","low-outsourcing",1
"1655","1212117","NOTTINGHAMSHIRE","Investment owned",3,"Pathway Care Solutions Ltd","01/12/2015",NA,"high-outsourcing",1
"1656","1221700","LANCASHIRE","Corporate owned",5,"Hexagon Care Services Ltd","02/02/2016","low-overspend",NA,1
"1657","1224663","LEICESTERSHIRE","Investment owned",3,"Horizon Care and Education Group Limited","30/12/2015","low-overspend",NA,1
